LOG_Code;UI_Code;ADR_Num;ADR_Libelle;ADR_CodePo;ADR_CommPo
1 030 0021 001 015;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 016;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 017;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 018;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 019;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 020;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 021;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 022;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 023;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 024;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 001 025;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 001;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 002;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 003;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 004;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 005;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 006;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 007;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 008;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 009;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 002 010;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 030 0021 003 001;1 030 0021;;33 rue du chevau fug;3100;Montlucon
1 050 0005 001 004;1 050 0005;;montgenevre la praya;5100;Montgenevre
1 050 0005 001 005;1 050 0005;;montgenevre la praya;5100;Montgenevre
1 050 0005 001 006;1 050 0005;;montgenevre la praya;5100;Montgenevre
1 050 0005 001 007;1 050 0005;;montgenevre la praya;5100;Montgenevre
1 050 0005 001 008;1 050 0005;;montgenevre la praya;5100;Montgenevre
1 050 0005 001 009;1 050 0005;;montgenevre la praya;5100;Montgenevre
1 060 0762 001 001;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 001 002;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 001 003;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 001 004;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 001 005;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 001 006;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 002 007;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 002 008;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 002 009;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 002 010;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 002 011;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 002 012;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 003 013;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 003 014;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 003 018;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 004 019;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 004 020;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 004 021;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 004 022;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 004 023;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 004 024;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 005 027;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 005 028;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 005 029;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 060 0762 005 030;1 060 0762;;IMMEUBLE GENDARMERIE;6000;Nice
1 090 0058 001 001;1 090 0058;;rte toulouse;9700;Saverdun
1 090 0058 001 002;1 090 0058;;rte toulouse;9700;Saverdun
1 090 0058 001 003;1 090 0058;;rte toulouse;9700;Saverdun
1 090 0058 001 004;1 090 0058;;rte toulouse;9700;Saverdun
1 090 0058 001 005;1 090 0058;;rte toulouse;9700;Saverdun
1 090 0058 001 006;1 090 0058;;rte toulouse;9700;Saverdun
1 090 0058 001 007;1 090 0058;;rte toulouse;9700;Saverdun
1 120 0450 001 001;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 002;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 003;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 005;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 006;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 007;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 008;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 009;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 010;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 011;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 013;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 014;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 015;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 001 016;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 120 0450 002 001;1 120 0450;;pl louis fontanges;12200;Villefranche-de-Rouergue
1 130 0023 004 001;1 130 0023;;74 rue du dr leon perrin;13003;Marseille
1 130 0023 004 002;1 130 0023;;74 rue du dr leon perrin;13003;Marseille
1 130 0023 004 003;1 130 0023;;74 rue du dr leon perrin;13003;Marseille
1 130 0023 004 004;1 130 0023;;74 rue du dr leon perrin;13003;Marseille
1 130 0023 004 005;1 130 0023;;74 rue du dr leon perrin;13003;Marseille
1 130 0023 005 001;1 130 0023;;74 rue du dr leon perrin;13003;Marseille
1 130 0056 001 003;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 004;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 005;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 006;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 008;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 009;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 010;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 011;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 012;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 013;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 014;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 015;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 016;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 017;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 018;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 019;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 020;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 021;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 022;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 023;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 024;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 025;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 026;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 027;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 028;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 029;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 030;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 031;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 032;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 033;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 034;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 001 035;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 001;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 002;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 003;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 004;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 005;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 006;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 007;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 008;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 009;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 010;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 011;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 012;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 013;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 014;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 015;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 016;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 017;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 018;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 019;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 0056 002 020;1 130 0056;;91 bd de plombieres;13003;Marseille 3e  Arrondissement
1 130 1045 001 001;1 130 1045;;residence Couperigne;13127;Vitrolles
1 160 0419 001 001;1 160 0419;;38 rue de l'Arsenal;16000;Angoul?me
1 170 0003 001 001;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 170 0003 001 002;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 170 0003 001 003;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 170 0003 001 004;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 170 0003 001 005;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 170 0003 001 006;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 170 0003 005 008;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 170 0003 005 009;1 170 0003;8;de Strasbourg;17340;Chetelaillon-Plage
1 180 0079 001 001;1 180 0079;;rte nle 140;18380;La Chapelle-d'Angillon
1 180 0079 001 002;1 180 0079;;rte nle 140;18380;La Chapelle-d'Angillon
1 180 0079 001 003;1 180 0079;;rte nle 140;18380;La Chapelle-d'Angillon
1 180 0079 001 004;1 180 0079;;rte nle 140;18380;La Chapelle-d'Angillon
1 180 0079 001 005;1 180 0079;;rte nle 140;18380;La Chapelle-d'Angillon
1 180 0079 001 006;1 180 0079;;rte nle 140;18380;La Chapelle-d'Angillon
1 190 0063 001 001;1 190 0063;; avenue ventadour;19000;Tulle
1 220 0040 001 001;1 220 0040;30;Felix Couteau/des Promenades;22150;Plouguenast
1 220 0040 002 002;1 220 0040;30;Felix Couteau/des Promenades;22150;Plouguenast
1 220 0040 002 003;1 220 0040;30;Felix Couteau/des Promenades;22150;Plouguenast
1 220 0040 003 004;1 220 0040;30;Felix Couteau/des Promenades;22150;Plouguenast
1 220 0040 003 005;1 220 0040;30;Felix Couteau/des Promenades;22150;Plouguenast
1 220 0040 009 007;1 220 0040;30;Felix Couteau/des Promenades;22150;Plouguenast
1 220 0400 001 001;1 220 0400;;14 rue Theodore Botrel;;Dinan
1 220 0400 001 002;1 220 0400;;14 rue Theodore Botrel;;Dinan
1 220 0400 001 003;1 220 0400;;14 rue Theodore Botrel;;Dinan
1 220 0400 001 004;1 220 0400;;14 rue Theodore Botrel;;Dinan
1 220 0400 001 005;1 220 0400;;14 rue Theodore Botrel;;Dinan
1 220 0400 001 006;1 220 0400;;14 rue Theodore Botrel;;Dinan
1 230 0001 004 001;1 230 0001;;Pierre d'Aubusson;23400;Bourganeuf
1 240 0079 001 001;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 002;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 003;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 004;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 005;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 006;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 007;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 008;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 240 0079 001 009;1 240 0079;10; EUGENE LE ROY;24800;Thiviers
1 270 0387 001 001;1 270 0387;;quartier fieschi;27200;Vernon
1 290 0100 001 001;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 002;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 003;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 004;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 005;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 006;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 009;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 010;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 011;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 001 012;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 001;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 002;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 003;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 004;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 005;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 006;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 007;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 008;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 009;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 010;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 011;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 012;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 013;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 014;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 015;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 002 016;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 0100 003 001;1 290 0100;15;de l'Harteloire;29200;Brest
1 290 1142 001 001;1 290 1142;;400 Route de l'aeroport;29490;Guipavas
1 310 0041 003 001;1 310 0041;;12 r roquemaurel (ex.sea);;Toulouse
1 330 0888 036 003;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 008;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 010;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 011;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 012;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 014;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 015;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 103;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 104;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 106;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 107;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 108;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 109;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 110;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 111;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 113;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 330 0888 036 114;1 330 0888;;15 pl joffre bp 2013;33500;Libourne
1 340 1035 001 001;1 340 1035;;Mas Aldebert - logement 16 f;34130;Mauguio
1 340 1040 001 001;1 340 1040;;Mas Aldebert - logement 16 e;34130;Mauguio
1 350 0095 001 001;1 350 0095;;44 rue d'Antrain;35250;Saint-Aubin-d'Aubigne
1 350 0095 001 002;1 350 0095;;44 rue d'Antrain;35250;Saint-Aubin-d'Aubigne
1 350 0095 001 003;1 350 0095;;44 rue d'Antrain;35250;Saint-Aubin-d'Aubigne
1 350 0095 002 004;1 350 0095;;44 rue d'Antrain;35250;Saint-Aubin-d'Aubigne
1 350 0095 002 005;1 350 0095;;44 rue d'Antrain;35250;Saint-Aubin-d'Aubigne
1 350 0984 001 001;1 350 0984;;26 Rue Louis Rossel;35136;Saint-Jacques-de-la-Lande
1 350 0986 001 001;1 350 0986;;47 rue MARTIN LUTHER KING;35136;Saint-Jacques-de-la-Lande
1 360 0007 001 001;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 002;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 003;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 004;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 005;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 006;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 007;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 008;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 009;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0007 001 010;1 360 0007;;2 rte de chateauroux;36500;Buzancais
1 360 0600 003 001;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 002;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 003;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 004;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 006;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 007;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 008;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 009;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 010;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 011;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 012;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 013;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 014;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 015;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 016;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 017;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 019;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 020;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 021;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 022;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 023;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 024;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 025;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 026;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 027;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 028;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 029;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 030;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 031;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 003 032;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 076;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 077;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 078;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 079;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 080;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 081;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 082;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 083;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 084;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 085;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 086;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 087;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 088;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 089;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 090;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 091;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 092;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 093;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 094;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 095;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 096;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 097;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 098;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 099;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 100;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 101;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 102;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 103;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 104;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 008 105;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 106;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 107;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 108;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 109;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 110;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 111;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 112;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 113;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 114;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 115;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 116;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 117;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 118;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 119;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 120;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 121;1 360 0600;7;Charlier;36000;Cheteauroux
1 360 0600 009 122;1 360 0600;7;Charlier;36000;Cheteauroux
